sentiment,content
neutral,dont get trampled on again
worry,Ill in bed my stomach is killing me
neutral,IT DIDN'T WORK
relief,I Got it!
happiness,australia gets may 4th off! enjoy it
worry,what?! i just missed home + away! nooooooooo
surprise,god assignments are stressful ! but its finished now lol and im off to bedd
happiness,I'm pondering lunch at Shane's. I think. I can already hear people whining about it...
neutral,"I'm trying my dang hardest to not watch the movie again until I finish the book, again."
neutral,that was funny n almost right
neutral,yes indeed here I am again
love,Happy Mother's Day!
love,At the hospital today then shopping with mom Love you so much.
worry,is a movie afficionado. I might just as well write about the films i watch.
worry,"Still no pic, very sad"
surprise,Yay for Block Party! You're the BOMB! Blockheads &lt;3 Dave! Thanks for supporting NKOTB!
worry,nah I don't finish til next yearrrr!!! are u stayin in the bad news after graduation?
neutral,mega burguer was my lunch yesterday
enthusiasm,going to work once again. what a great few days off i had. now it's over but atleast i get 2 more commin up wahooooooo
worry,"fact is i am a bad cook, those ships weren't cooked, and neither is this chicken"
happiness,akissforjersey is amazing&lt;3 sooo soothing.
relief,"Thanks dear, I know this, but I appreciate the validation as always"
neutral,hey you!
neutral,not just me then
love,"Listening to Eminem's new album, got leaked a few days ago #Relapse. Pretty good"
love,That's love.
hate,Oh eww that is suck!
sadness,Stuck at work! Stuck at work! I'm hungry.
neutral,when will these stores in Sacramento open? Been waiting and nothing
neutral,I need to get some shut eye... But I just can't let's try 1 more time. Ta Ta Twitterworld
neutral,6 am. you?
fun,NEW motorcycle and you POPPED a cable already? wow-you ride HARD!
love,"Haha, AWESOME! And, clearly, only Trinity is awesome enough to have access to it!"
worry,"1 week post my&quot;horrible, traumatic jumping cholla accident.&quot;-cholla's next dirty trick:pieces are starting to emerge from my hand! Ouch!"
fun,that's a brilliant idea! only one buzz though
surprise,Charlie Brown What are you doing today? What time is it??
happiness,love those panties
worry,Mr. Ddub how bout' announcing a new date for the NC shows? please don't leave us out. i got my refund 2day for 5*
happiness,ay buti pa kayo!!!! uy thank you!!
empty,I soooo need to catch up on all this NEW stuff!! Going to the airport to fly home from VEGAS
love,"You wouldnt change your fans for the world, tbh i dont think anyone would change mcfly for the world You's are too amazing x"
sadness,Yes I think so unless it changed. I sent u a happy mothers day text but u never responded back
neutral,exhausting day. And more to come tomorrow! City for mother's day! can't wait minus the driving.
worry,why have 3 people stopped following me is it something I said??
love,si de cand ai twtad?
happiness,"well, I couldn't get a real clear shot, but I've got the best I could...silly people walking through the admitting of the ER..."
neutral,"OK, It's my 1000th Tweet I'll use it to simply say &quot;Thank You!!&quot;. I've met some of the most giving/caring people on Twitter!"
love,thanks thought you might want a flower today.
happiness,WOOOOOOOOOO are you coming to Nottingham at any point? lovelovelove&lt;3
worry,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest
hate,"TV is shite,thank god for youtube"
relief,well.. i dont have to do any resits... lol... so its MY last exam
happiness,Finally on my way home
sadness,"watched prison break special, such a sad ending"
sadness,can't chat with since i have to go to school now
worry,aww. I hope you feel better soon.
worry,will deplurk! GAH!! need to concentrate on Jap! Visit my (site) if you have time heh...
surprise,LOL yeah he unfollowed me bkuz I was just jokein with him bwt somethn n I quess he took it serious
happiness,Indeed. Thanks for sharing that! Now I can go to sleep giggling. Night!
sadness,OMggg. i just heard someone is gonna die on the new season of the secret life of the american teenager noooo.
happiness,We never miss ICarly - my son has a huge crush on Miranda
enthusiasm,fcuk! ayoko na!! I said that in tagalog cuz idk what to do anymore!
neutral,work 4 - close
anger,jet lag must be soo annoyingg! im in uk timee welcome to ukkkkk are u coming to scotland at all ? xxxx
happiness,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah
sadness,My phone passed away yesterday.. He jumped off the table Searching for a new phone...
worry,I know. I have such guilt associated with picking winners.
love,i love jeopardy ...take that!
love,"A laodicean life for Kavya &amp; family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean"
worry,I've been readin your last few twitts. I hope your ok
worry,Definition of senioritis: Me. About to go to chem II and calculus. Not good classes to feel like slackin
happiness,"Perfect night. Best month of my life so far!! You my boo,"
hate,loll my dad leavingg and moving to las vegas and myy now ex boyfrienndd is FINALLLY done talking to me and has left me alone
relief,is sooo tired and too busy to tweet im glad the weekend is here... yay 4 day-weekend
worry,yeah! but too late hun lol
happiness,morning T! I love their breakfast! If I wasn't stuck at the shop right now getting maintenance done to the ride!
worry,"Wah, why are you sad?"
hate,"finished! took me about two hours, but i got a &quot;B&quot; on it"
hate,you suck
neutral,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA Working doubles now for the next 6 weeks
neutral,picat 21
worry,i soooo want to get a Nikon D 90 damn y do they cost soooo much!
neutral,awww... dangness! i cant wait to see the picture! lime green elements...wooot!
neutral,"Mary, Are you not receiving my texts????"
anger,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
happiness,is NOT watching Star Trek tonight. But is heading to a lovely dinner and fun board games night with
worry,I had my hair cut today and my boyfriend didn't notice....
happiness,A salute to Chapel Hill North Carolina. From SY * ?
surprise,Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side.
surprise,"I am in a middle of a industrial estate in pirate ffancy dress,ready to do a 7 mile walk"
love,"I'm sending a Happy Mama's Day shout to the greatest Twit-mama ever to U kick ass, all day - everyday! Lovely sons!!"
worry,that sigh doesn't sound happy.
happiness,please check out www.mysweetebony.com and lmk what you think ... my first paysite ... post up your site too!
happiness,For reals. It's lovely being around someone so refreshingly analog in his interests
relief,"reality needs to check in. schools over. time to party not tonight tho, im going to bed. night, night."
worry,Omg ! BGT making me cry . That wee girl it's soo sad.
happiness,I saw it and I liked it Not bad :]
sadness,Missin my boo
neutral,Yups! I still have a lot of pruning of unfollowers to do. It takes time
worry,What!?!?! I can't believe I had to find out this way...don't you ppl contact family first??!!? I'm so sad! Who was it?!?1
happiness,do u hav a garden? bunny probs r decidedly uncool. thanks 4d link!
happiness,"Oh, and now Mondays also mean new American Dad! So glad I watched that show, so funny, and it makes Mondays even better"
neutral,I feel you I have a third eye right now and right before I go see foreign boys
worry,"I want to ride my bicycle today, but it's too cold and cloudy today"
love,happy mothers day to all you mums out there
love,Happy Mother's Day to all the moms out there!
neutral,No tourney 'til next weekend =
worry,"cannot go, cannot refused to feel the pain"
surprise,"o yea? awwww, how sweet!! U r good kids!"
fun,"Swords make everyone sexy. Oh, Harold."
worry,oh wow...hope he's ok u take him 2 the vet?
worry,I miss my 8703
enthusiasm,I want it to be 5 already
worry,"Hahahah, I will be using that saying from now on!"
worry,"I blocked him too, lets hope it just goes away forever"
neutral,"pic, please."
love,"-I don't have a ticket, my boyfriend isn't that into them, it might rain, and I'm on a budget...boo! I &lt;3 tho"
hate,Why is it that America celebrates mother's day on a different day to England? Anyhooo...Happy Mother's Day 2 All American Mumzys! x
relief,Ahhh i'm sqeaky clean and fresh. Even though i'm wearing dirty clothes I love Two and a Half Men - it's amazing!
surprise,Just realized I hold a membership in the gym - saw my bank statement
happiness,No worries - thank google! There's nothing you can't find on there!
happiness,Ra'anana is a wonderful place
neutral,- My 789 pacman pic
worry,I do nothing on friday nights
hate,"i'm going to sleepies, feel poorlies and pissed off night night tweeples xxx"
neutral,Is feelin right rite now
neutral,but thats 7 weeks away Im sure we got by only tweeting at night before?
worry,"bye, Scotty! i'm gonna miss you. ily&lt;333"
surprise,Holy moley! It's raining cats and dogs here! And I just got snazzified by Min at Salon Mint!
neutral,What happened to Dave?
happiness,"GREAT pic! How fun! Love food and wine festivals...well, beer fests too"
worry,Sunrise by Blvd East is awesome. Now to get some sleep. YAY!!
